NAME COMPANY
PLACEMENTS DVV INC. 
INVESTISSEMENTS OLYMBEC INC. 
SOCIETE IMMOBILIERE PRIVEE CARON & TREPANIER INC. 
EQUATIO MARKETING ET EXPORTATION INC. 
LOUAGE GUYVON INC. 
DELUXE IMMOBILIER INC. 
TURQUOISE PROPRIETES INC. 
LES IMMEUBLES APP INC. 
99 RUE ALEXANDRE INC. 
GESTION FIKA INC. 
GESTION IMMOBILIERE DOMEL 
9464-8623 QUEBEC INC. 
9337-3660 QUEBEC INC. 
GROUPE IMMOBILIER EDDY SAVOIE INC. 
GESTION GEREMIE MORIN INC. 
GESTION 833 ST-LOUIS INC. 
GROUPE IMMOBILIER SIMARD INC. 
9512-3279 QUEBEC INC. 
IMMEUBLES DES DESROSIERS SENC 
9468-8173 QUEBEC INC. 
HABITATIONS DMROY INC. 
LES IMMEUBLES LA SUITE INC. 
SOCIETE IMMOBILIERE LE NOBLET INC. 
9058-9482 QUEBEC INC. 
GESTION EXPEL INC. 
G1-BLOC INC. 
SOCIETE IMMOBILIERE SBFJ INC. 
9368-1666 QUEBEC INC. 
AU PIED DES TOURS INC. 
LA MAISON DE MONTIGNY 
LES INVESTISSEMENTS IMMOBILIERS PM INC. 
BEAUCHENE DIVISION IMMOBILIERE INC. 
9258-9795 QUEBEC INC. 
AW CAPITAL INC. 
IMMEUBLES JDR INC. 
12685892 CANADA INC. 
LES IMMEUBLES OSWALD JOSEPH INC. 
COOPERATIVE D'HABITATION LA RIVE GAUCHE 
9422-0464 QUEBEC INC. 
9046-2839 QUEBEC INC. 
109467 CANADA INC. 
DEVELOPPEMENT OLYMBEC INC. 
GESTION 223 FABI INC. 
RABEAU PROPERTY GROUP INC. 
HABITATIONS L'EQUERRE INC. 
9312-9195 QUEBEC INC. 
DESCARTES IMMOBILIER INC. 
COOP. D'HABITAT. DES CANTONS DE L'EST 
LES IMMEUBLES B.B.D.M. INC. 
LOCATION JMDL INC. 
9512-1190 QUEBEC INC. 
9462-3048 QUEBEC INC. 
116 RUE SANBORN INC. 
COOP. D'HABITATION DU PALMIER DECONNECTE 
9347-7669 QUEBEC INC. 
PLACEMENT IMMOBILIER M.R.S. 
KP CAPITAL IMMOBILIER V S.E.C 
9179-2143 QUEBEC INC. 
9379-1473 QUEBEC INC. 
116 SANBORN INC. 
LEVI CAPITAL INC. 
CAPITAL MITB INC. 
9290-7476 QUEBEC INC. 
LES IMMEUBLES DELAFONTAINE INC. 
MCMP SERVICES-CONSEILS INC. 
9295-3397 QUEBEC INC. 
9435-6029 QUEBEC INC. 
9415-6254 QUEBEC INC. 
GESTION PATRICE PHANEUF INC. 
SMA INC. 
9440-1668 QUEBEC INC. 
GESTION LYMLEE INC. 
9152-9974 QUEBEC INC. 
GESTION PLEXOS INC. 
GESTION PINARD ET BOYER INC. 
GESTION FRANCOIS THIBODEAU INC. 
GESTION C.P. 2006 INC. 
BEAUCHENE FI1 INC. 
9391-0099 QUEBEC INC. 
9392-5642 QUEBEC INC. 
9392-5683 QUEBEC INC. 
COBALT CAPITAL INC. 
9519-2357 QUEBEC INC. 
IMMO BO INC. 
INVERSTISSEMENTS IMMOBILIERS SPL INC. 
GESTION ROSAIRE COTE INC. 
LES APPARTEMENTS BELLEVUE INC. 
GESTION IMMOBILIERE I.D. INC. 
INVESTISSEMENTS IMMOBILIERS PB INC. 
GESTION ASTO INC. 
LAMART BK INVESTISSEMENTS INC. 
9454-0598 QUEBEC INC. 
BEDARD CLOUTIER IMMOBILIER INC. 
9213-8213 QUEBEC INC. 
IMMEUBLES B.C.G. SENC 
9440-1569 QUEBEC INC 
IKIGAI IMMOBILIER INC. 
9344-8348 QUEBEC INC. 
OFF. MUN. HABITATION DE SHERB 
LES PLACEMENTS MONDIAL 2005 INC. 
9483-0486 QUEBEC INC. 
LOGEMENTS BLPH INC 
9455-1462 QUEBEC INC. 
IMMEUBLES VIEUX-NORD INC. 
2850-2953 QUEBEC INC. 
ECOPLAN LTEE 
9322-0465 QUEBEC INC. 
9099-9269 QUEBEC INC. 
2749-4277 QUEBEC INC. 
