proprietaire_nom,proprietaire_adresse
9416-2096 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2, A/S PIERRE-LUC MORIN"
MEM IMMOBILIER INC. ,"438 RUE ROLLAND-DION, MAGOG (QC), J1X7T5, A/S MARC VAUCHER"
RNP INVESTISSEMENTS INC. ,"1505 RUE PINARD, SHERBROOKE (QC), J1J3C9, A/S SAMUEL ROUSSEAU"
9462-3048 QUEBEC INC. ,"11609 AV DES VIOLETTES, MONTREAL-NORD (QC), H1G 4N1, A/S ANTHONY CARTAGENA"
LES PLACEMENTS CHARLAND INC. ,"206-4 RUE DE LA SARCELLE, ORFORD (QC), J1X 6Z8, A/S LOUIS CHARLAND"
COOPERATIVE D'HABITATION MELBOURNE ,"607 RUE PROSPECT, SHERBROOKE (QC), J1H1B1, A/S LARRY DUCLOS"
DELUXE IMMOBILIER INC. ,"300-2950 RUE LUCIEN-L'ALLIER, LAVAL (QC), H7P 0H8"
IMMEUBLES KESAR INC. ,"CP 21522 CSP ST-FAMILLE, SHERBROOKE (QC), J1G 5K2, A/S CHEMIKA MAMODEHOUSSEN"
9342-6971 QUEBEC INC. ,"1715 RUE DUNANT, SHERBROOKE (QC), J1H4A3, A/S ANDRE MOREAU"
SOCIETE IMMOBILIERE LBT45 INC. ,"310 RUE L.-P.-BRODEUR, TROIS-RIVIERES (QC), G8W 0M4"
GESTION J.I.C.A. INC. ,"1535-800 BOUL RENE-LEVESQUE O, MONTREAL (QC), H3B 1X9"
QUINCAILLERIE R. ST-PIERRE INC. ,"304 RUE DE L'ACADEMIE, VICTORIAVILLE (QC), G6R 0V1, A/S SYLVAIN DION"
839-1254 CAPUCINES INC. ,"875 AVENUE DE DIEPPE, SAINT-HYACINTHE (QC), J2S 7A1"
SOCIETE IMMOBILIERE MAYA INC. ,"4895 BOULEVARD INDUSTRIEL, SHERBROOKE (QC), J1R0P4, A/S CHRISTIAN BELLEAU"
9405-1299 QUEBEC INC. ,"990 RUE BOWEN S, SHERBROOKE (QC), J1G2G4, A/S JEAN-PIERRE GOUIN"
9392-5683 QUEBEC INC. ,"5041 AVE DU CHATEAU-PIERREFONDS, PIERREFONDS (QC), H9K 1E7, A/S ALEXIS CASTONGUAY"
COLLEGE REGIONAL CHAMPLAIN ,"1301 BOULEVARD DE PORTLAND, SHERBROOKE (QC), J1J1S2, A/S YVES RAINVILLE"
FIDUCIE LAUREAT RICHARD ,"103-3005 RUE RICHARD, SHERBROOKE (QC), J1L2A3"
9348-5522 QUEBEC INC. ,"201-41 RUE BLAINVILLE O, SAINTE-THERESE (QC), J7E 1X4, A/S MICHELE GIUSTINIANI"
GESTION CAPITAL BERGERON GAGNE INC. ,"5323 RUE DE BREBEUF, MONTREAL (QC), H2J 3L8"
IMMEUBLES B.C.G. SENC ,"1805 RUE D' ANJOU, SHERBROOKE (QC), J1J1A7, A/S ALEXANDRE GROLEAU"
QUANTUM IMMOBILIER INC. ,"104-4710 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N2A8"
GESTION R. LABONTE INC. ,"55 RUE KING O, SHERBROOKE (QC), J1H1P1"
SOCIETE EN COMM. LOKIA SELECTION SHERBR. ,"481 RUE SACRE-COEUR O, ALMA (QC), G8B 1M4"
IMMOBILIER GOBEIL & FILS INC. ,"1435 RUE KING E, SHERBROOKE (QC), J1G1E8"
LE PARALLELE DE L'HABITATION SOCIALE INC. ,"471 RUE GALT O, SHERBROOKE (QC), J1H1Y8"
GESTION IMMO ROYALE INC. ,"3637 RUE ONTARIO E, MONTREAL (QC), H1W 1R8"
IMMEUBLES MUSTURBAIN INC. ,"351 RUE DE L' ONTARIO, SHERBROOKE (QC), J1J3R3"
GESTION 833 ST-LOUIS INC. ,"13-185 RUE JACQUES-CARTIER N, SAINT-JEAN-SUR-RICHELIEU (QC), J3B 1T6"
9461-3783 QUEBEC INC. ,"A-1760 RUE PROSPECT, SHERBROOKE (QC), J1J3Y9"
GESTION IMMOBILIERE INVERSO INC. ,"5676 CHEMIN DE SAINTE-CATHERINE, SHERBROOKE (QC), J1N0E7"
BEDARD CLOUTIER IMMOBILIER INC. ,"1040 CH DU LAC, SAINTE-CATHERINE-DE-HATLEY (QC), J0B 1W0"
